Entity,Code,Year,GDP per capita
Afghanistan,AFG,2022,1357.9878
Albania,ALB,2022,12978.101
Algeria,DZA,2022,13506.444
Angola,AGO,2022,6118.905
Argentina,ARG,2022,18292.318
Armenia,ARM,2022,13837.577
Australia,AUS,2022,52049.43
Austria,AUT,2022,43792.855
Azerbaijan,AZE,2022,17682.94
Bahrain,BHR,2022,38651.6
Bangladesh,BGD,2022,4925.721
Barbados,BRB,2022,11545.848
Belarus,BLR,2022,18699.799
Belgium,BEL,2022,41872.395
Benin,BEN,2022,2477.0903
Bolivia,BOL,2022,6481.3906
Bosnia and Herzegovina,BIH,2022,12142.863
Botswana,BWA,2022,16351.91
Brazil,BRA,2022,14640.076
Bulgaria,BGR,2022,20592.455
Burkina Faso,BFA,2022,1704.966
Burundi,BDI,2022,717.22845
Cambodia,KHM,2022,3944.2468
Cameroon,CMR,2022,2812.2148
Canada,CAN,2022,45529.645
Cape Verde,CPV,2022,7202.767
Central African Republic,CAF,2022,596.393
Chad,TCD,2022,1393.5635
Chile,CHL,2022,22740.72
China,CHN,2022,19238.18
Colombia,COL,2022,14468.964
Comoros,COM,2022,1900.3983
Congo,COG,2022,4187.507
Costa Rica,CRI,2022,15496.82
Cote d'Ivoire,CIV,2022,4011.7122
Croatia,HRV,2022,26986.752
Cuba,CUB,2022,7648.704
Cyprus,CYP,2022,31523.498
Czechia,CZE,2022,32247.395
Democratic Republic of Congo,COD,2022,844.172
Denmark,DNK,2022,50689.68
Djibouti,DJI,2022,3623.0603
Dominica,DMA,2022,8879.6455
Dominican Republic,DOM,2022,17713.52
Ecuador,ECU,2022,10124.076
Egypt,EGY,2022,13205.406
El Salvador,SLV,2022,9218.905
Equatorial Guinea,GNQ,2022,22707.22
Estonia,EST,2022,30067.395
Eswatini,SWZ,2022,8522.45
Ethiopia,ETH,2022,2289.409
Finland,FIN,2022,40701.465
France,FRA,2022,39065.71
Gabon,GAB,2022,15720.901
Gambia,GMB,2022,2010.5322
Georgia,GEO,2022,14360.359
Germany,DEU,2022,46647.793
Ghana,GHA,2022,4242.4106
Greece,GRC,2022,25283.906
Guatemala,GTM,2022,7969.431
Guinea,GIN,2022,1809.2666
Guinea-Bissau,GNB,2022,1625.3876
Haiti,HTI,2022,1546.4222
Honduras,HND,2022,5186.5303
Hungary,HUN,2022,29451.855
Iceland,ISL,2022,42145.594
India,IND,2022,7765.593
Indonesia,IDN,2022,12801.671
Iran,IRN,2022,18473.066
Iraq,IRQ,2022,13071.94
Ireland,IRL,2022,60257.082
Israel,ISR,2022,36648.918
Italy,ITA,2022,36224.293
Jamaica,JAM,2022,7481.6685
Japan,JPN,2022,38268.79
Jordan,JOR,2022,9151.479
Kazakhstan,KAZ,2022,26491.857
Kenya,KEN,2022,3403.9238
Kuwait,KWT,2022,71533.516
Kyrgyzstan,KGZ,2022,5304.841
Laos,LAO,2022,7168.1904
Latvia,LVA,2022,27220.303
Lebanon,LBN,2022,10341.159
Lesotho,LSO,2022,2312.9583
Liberia,LBR,2022,811.2146
Libya,LBY,2022,12755.204
Lithuania,LTU,2022,30863.32
Luxembourg,LUX,2022,55484.777
Madagascar,MDG,2022,1367.0938
Malawi,MWI,2022,1190.0509
Malaysia,MYS,2022,26628.707
Mali,MLI,2022,1651.9413
Malta,MLT,2022,34496.34
Mauritania,MRT,2022,3680.3662
Mauritius,MUS,2022,20643.094
Mexico,MEX,2022,16235.455
Moldova,MDA,2022,6674.871
Mongolia,MNG,2022,13442.906
