Entity,Code,Year,CO₂ emissions per capita
Afghanistan,AFG,2022,0.25062045
Albania,ALB,2022,1.5908402
Algeria,DZA,2022,4.238998
Andorra,AND,2022,5.311056
Angola,AGO,2022,0.59180546
Antigua and Barbuda,ATG,2022,6.9125686
Argentina,ARG,2022,4.047052
Armenia,ARM,2022,2.6723685
Australia,AUS,2022,14.65893
Austria,AUT,2022,6.779517
Azerbaijan,AZE,2022,3.999354
Bahamas,BHS,2022,7.4507422
Bahrain,BHR,2022,24.66764
Bangladesh,BGD,2022,0.6030491
Barbados,BRB,2022,4.6577086
Belarus,BLR,2022,6.226867
Belgium,BEL,2022,7.6375527
Belize,BLZ,2022,1.7970879
Benin,BEN,2022,0.44276863
Bhutan,BTN,2022,1.9843147
Bolivia,BOL,2022,1.9448458
Bosnia and Herzegovina,BIH,2022,6.4724236
Botswana,BWA,2022,3.0311775
Brazil,BRA,2022,2.2826612
Brunei,BRN,2022,26.8725
Bulgaria,BGR,2022,6.8755846
Burkina Faso,BFA,2022,0.29064742
Burundi,BDI,2022,0.06587466
Cambodia,KHM,2022,1.2129679
Cameroon,CMR,2022,0.3543776
Canada,CAN,2022,14.107159
Cape Verde,CPV,2022,1.1498797
Central African Republic,CAF,2022,0.07402691
Chad,TCD,2022,0.15173951
Chile,CHL,2022,4.385191
China,CHN,2022,8.217776
Colombia,COL,2022,1.7286528
Comoros,COM,2022,0.63734925
Congo,COG,2022,1.446125
Costa Rica,CRI,2022,1.5762514
Cote d'Ivoire,CIV,2022,0.47719425
Croatia,HRV,2022,4.500902
Cuba,CUB,2022,2.1029758
Cyprus,CYP,2022,5.3108797
Czechia,CZE,2022,8.904502
Democratic Republic of Congo,COD,2022,0.057544336
Denmark,DNK,2022,4.9288173
Djibouti,DJI,2022,0.4840291
Dominica,DMA,2022,2.4663935
Dominican Republic,DOM,2022,2.7802987
East Timor,TLS,2022,0.48899838
Ecuador,ECU,2022,2.36007
Egypt,EGY,2022,2.2189891
El Salvador,SLV,2022,1.2599217
Equatorial Guinea,GNQ,2022,4.1567073
Eritrea,ERI,2022,0.2106724
Estonia,EST,2022,8.863261
Eswatini,SWZ,2022,0.8435616
Ethiopia,ETH,2022,0.13526215
Fiji,FJI,2022,1.5103477
Finland,FIN,2022,6.5245185
France,FRA,2022,4.4555726
Gabon,GAB,2022,2.3792052
Gambia,GMB,2022,0.3064694
Georgia,GEO,2022,3.1622012
Germany,DEU,2022,7.942359
Ghana,GHA,2022,0.6258142
Greece,GRC,2022,5.532692
Greenland,GRL,2022,10.483111
Grenada,GRD,2022,2.928238
Guatemala,GTM,2022,1.0596977
Guinea,GIN,2022,0.2883205
Guinea-Bissau,GNB,2022,0.16357648
Guyana,GUY,2022,5.351061
Haiti,HTI,2022,0.2495167
Honduras,HND,2022,1.1221477
Hungary,HUN,2022,4.674298
Iceland,ISL,2022,9.458432
India,IND,2022,1.9861692
Indonesia,IDN,2022,2.7185707
Iran,IRN,2022,8.569505
